Пословицы_русская,Пословица_итальянская,Тематика
"Тише едешь, дальше будешь","Chi va piano, va sano e va lontano",Время
Не суди о книге по обложке,L'abito non fa il monaco,Внешность
Сказал А - говори и Б,Chi dice A deve dire anche B,Речь
"Много шуму, мало толку","Chi troppo abbaia, empie il corpo di vento",Дело
Под лежачий камень вода не течет,Chi dorme non piglia pesci,Дело
"Как волка не корми, он все в лес смотрит",Il lupo perde il pelo ma non il vizio,Привычка
"Легко сказать, но трудно сделать",Tra il dire e il fare c'e' di mezzo il mare,Дело
В чужой монастырь со своим уставом не ходят,"Paese che vai, usanza che trovi",Порядок
Дареному коню в зубы не смотрят,A caval donato non si guarda in bocca,Порядок
Аппетит приходит во время еды,L'appetito vien mangiando,Еда
От осинки не родятся апельсинки,La botte dà il vino che ha,Характеристика
"Что посеешь, то и пожнёшь","Chi semina vento, raccoglie tempesta",Результат
На вкус и цвет товарища нет,Il mondo è bello perché è vario,Характеристика
Одна ласточка весны не делает,Una rondine non fa primavera,Обощение
"Хорошо смеется тот, кто смеётся последним.",Ride bene chi ride ultimo,Результат
Терпение и труд все перетрут,Con la pazienza si vince tutto,Дело
Один в поле не воин,Una mano lava l'altra,Взаимопомощь
Чему быть — того не миновать,"Quel che sarà, sarà",Судьба
"По одежке встречают, по уму провожают",Si riceve l'uomo secondo l'abito e si accomiata secondo l'intelligenza,Характеристика
Беда никогда не приходит одна,Le disgrazie non vengono mai sole,Беда
Бедность не порок,Povertà non è vizio,Деньги
Быть на седьмом небе от счастья,Essere al settimo cielo,Счастье
Век живи — век учись,Fin alla bara sempre si impara,Обучение
В каждой шутке есть доля правды,Burlando si dice il vero,Правда
Внешность обманчива,L’apparenza inganna,Внешность
Вода камень точит,"A goccia a goccia, si scava la roccia",Время
Время — деньги,Il tempo è denaro,Деньги
"Много хочешь, мало получишь",Chi troppo vuole nulla stringe,Жадность
Молчание — знак согласия,Chi tace acconsente,Речь
"Собака лает, да не кусает",Can che abbaia non morde,Дело
Хороший друг на вес золота,"Chi trova un amico, trova un tesoro",Дружба
Поживём — увидим,"Chi vivrà, vedrà",Результат
Сказано — сделано,"Detto, fatto",Результат
Нет худа без добра,Dopo il cattivo vien il buono,Беда
Старый конь борозды не портит,Gallina vecchia fa buon brodo,Старость
В тихом омуте черти водятся,Guardati da aceto di vin dolce,Характеристика
"Кто рано встает, тому бог дает",Il mattino ha l'oro in bocca,Польза
На безрыбье и рак рыба,Il un mondo di ciechi un orbo è re,Безысходность
Рыба гниёт с головы,Il pesce puzza dalla testa,Беда
"Много слов, да мало дела",Molto fumo e poco arrosto,Результат
Жену и быка не бери издалека,Moglie e buoi dei paesti tuoi,Родина
Нет дыма без огня,Non c'e' fumo senza fuoco,Причина
"Не всё то золото, что блестит",Non è tutt'oro quel che luccica,Внешность
Дома и стены помогают,Nessun posto bello come casa propria,Родина
Бог Троицу любит,Non c'e' due senza tre,Обобщение
"Ты мне, я тебе","Oggi a me, domani a te",Взаимопомощь
Хорошего понемножку,Ogni bel gioco dura poco,Умеренность
У каждой медали есть обратная сторона,Ogni medaglia ha il suo rovescio,Характеристика
С глаз долой — из сердца вон,"Occhio che non vede, cuore che non duole",Утрата
Всяк кулик своё болото хвалит,Per ogni uccello il proprio nido è bello,Родина
Убить двух зайцев одним выстрелом,Prendere due piccioni con una fava,Польза
Своя рубашка ближе к телу,"Prima i denti, poi i parenti",Родина
Кот из дома — мыши в пляс,"Quando il gatto non c'è, i topi ballano",Порядок
Москва не сразу строилась,Roma non fu fatta in un giorno,Время
"Не везёт в картах, повезёт в любви","Sfortunato al gioco, fortunato in amore",Судьба
Всему своё время,Tempo al tempo,Время
"Всё хорошо, что хорошо кончается",Tutto è bene quel che finisce bene,Результат
Всё своё ношу с собой,Tutto quello che ho lo porto con me,Богатство
"Сколько веревочке ни виться, конец будет",Tanto va la gatta al lardo che ci lascia lo zampino,Судьба
"Каков поп, таков и приход","Tale l'abate, tali i monaci",Характеристика
Попытка не пытка,Tentar non nuoce,Безысходность
Все дороги ведут в Рим,Tutte le strade portano a Roma,Результат
Одно яблоко в день — и доктор за дверь,Una mela al giorno leva il dottore di torno,Здоровье
"Взялся за гуж — не говори, что не дюж",Volevi la bicicletta — pedala,Дело
Кашу маслом не испортишь,Zucchero non guastò mai vivanda,Польза
"Дуб ломится, былинка гнется",L'acciaio si rompe e il ferro si piega,Характеристика
Худой мир лучше доброй ссоры,Meglio un magro accordo che una grassa sentenza,Дружба
Попасть из огня да в полымя,Fuggire l'acqua sotto le grondaie,Беда
Не плюй в колодец - пригодится воды напиться,L'acqua che devi bere guarda di non intorpidirla,Взаимопомощь
"Что было, то прошло",L'acqua passata non macina piu',Прошлое
Все хорошо в меру,L'acqua ma non tempesta,Умеренность
Все возвращается на круги своя,In cent'anni e centi mesi torna l'acqua a suoi paesi,Судьба
Утопающий хватается за соломинку,Chi e' portato giu' dall'acqua s'attacca a' rasoi,Безысходность
Волков бояться - в лес не ходить,Chi tempe acqua e vento non si metta in mare,Риск
Толочь воду в ступе,Pastare acqua nel mortaio,Безысходность
Горбатого могила исправит,Il vecchio Adamo ritorna,Привычка
Поспешишь - людей насмешишь ,Chi tosto erra a bell'agio si penta,Результат
"Кто сам не плошает, тому Бог помогает","Chi s'aiuta, Dio l'aiuta",Дело
"Советчиков много, а помощников нет",Meglio un aiuto che cinquanta consigli,Взаимопомощь
"Даже самое большое дерево, выросло из маленького семени",Anche l'albero piu' grande fu all'inizio un arboscello,Время
Выше головы не прыгнешь,Non si puo' volar senz'ali,Характеристика
"Что имеем - не храним, потерявши - плачем","Allora si conosce il bene, quando si perde",Утрата
От любви до ненависти один шаг,Grande amicizia genera grand'odio,Любовь
Друзья познаются в беде,L'amico si vede nella necessita' ,Дружба
"Не имей сто рублей, а имей сто друзей",Meglio un aimico in piazza che cento once it tasca,Дружба
Любовь слепа - полюбишь и козла,L'amore e' cieco,Любовь
Милые бранятся - только тешатся,L'amore non e' bello se non e' struzzicarello,Любовь
Любовь за деньги не купишь,Amore non si trova al mercato,Любовь
Хочешь сделать хорошо - сделай сам,"Chi vuol, vada e chi non vuol mandi",Дело
Старость - не радость ,"Chi ha degli anni, ha dei malanni",Старость
Голод - лучшая приправа,L'appetito e' il miglior condimento,Еда
Обещаниями сыт не будешь,Non si campa d'aria,Дело
Грамоте учиться - всегда пригодится,Impara l'arte e mettila da parte,Обучение
Каждый сам кузнец своего счастья,Ognuno e' artefice della propria fortuna,Счастье
"Лучше синица в руках, чем журавль в небе","E' meglio un asino oggi, che un barbero a San Giovanni",Умеренность
Рыбак рыбака видит издалека,Chi si assomiglia si piglia,Характеристика
"Кто не рискует, тот не пьет шампанское","Chi non arrischia, non acquista",Риск
На чужих ошибках учатся,Il berbiere impara a radere sul mento dei pazzi o sulla faccia dell'orfano,Обучение
"Кто ищет, тот найдет","Chi chiama bene, in casa gli viene",Результат
"Доверяй, но проверяй","Fidarsi e' bene, ma non fidarsi e' meglio",Доверие